Data information of 192.168.250.1
Time,Sent Data, Total Data
2020-02-25 03:30:01,152,152
2020-02-25 03:30:02,450,602
2020-02-25 03:30:02,616,1218
2020-02-25 03:30:02,502,1720
2020-02-25 03:30:03,508,2228
2020-02-25 03:30:03,700,2928
2020-02-25 03:30:03,768,3696
2020-02-25 03:30:03,768,4464
2020-02-25 03:30:03,764,5228
2020-02-25 03:30:03,764,5992
2020-02-25 03:30:03,676,6668
2020-02-25 03:30:03,676,7344
2020-02-25 03:30:03,888,8232
2020-02-25 03:30:03,888,9120
2020-02-25 03:30:03,760,9880
2020-02-25 03:30:03,760,10640
2020-02-25 03:30:03,596,11236
2020-02-25 03:30:03,596,11832
2020-02-25 03:30:03,700,12532
2020-02-25 03:30:03,700,13232
2020-02-25 03:30:03,884,14116
2020-02-25 03:30:03,884,15000
2020-02-25 03:30:03,772,15772
2020-02-25 03:30:03,772,16544
2020-02-25 03:30:07,322,16866
2020-02-25 03:30:07,124,16990
2020-02-25 03:30:07,140,17130
2020-02-25 03:30:11,458,17588
2020-02-25 03:30:11,540,18128
2020-02-25 03:30:13,740,18868
2020-02-25 03:30:21,468,19336
2020-02-25 03:30:23,464,19800
2020-02-25 03:30:34,152,19952
2020-02-25 03:30:37,218,20170
2020-02-25 03:30:38,322,20492
2020-02-25 03:30:38,124,20616
2020-02-25 03:30:38,140,20756
2020-02-25 03:30:46,464,21220
2020-02-25 03:30:46,1058,22278
2020-02-25 03:30:46,120,22398
2020-02-25 03:30:49,1072,23470
2020-02-25 03:30:49,782,24252
2020-02-25 03:30:50,1042,25294
2020-02-25 03:30:50,1054,26348
2020-02-25 03:30:50,936,27284
2020-02-25 03:30:56,128,27412
2020-02-25 03:31:03,700,28112
2020-02-25 03:31:03,768,28880
2020-02-25 03:31:03,768,29648
2020-02-25 03:31:03,764,30412
2020-02-25 03:31:03,764,31176
2020-02-25 03:31:03,676,31852
2020-02-25 03:31:03,676,32528
2020-02-25 03:31:03,888,33416
2020-02-25 03:31:03,888,34304
2020-02-25 03:31:03,760,35064
2020-02-25 03:31:03,760,35824
2020-02-25 03:31:03,596,36420
2020-02-25 03:31:03,596,37016
2020-02-25 03:31:03,700,37716
2020-02-25 03:31:03,700,38416
2020-02-25 03:31:03,884,39300
2020-02-25 03:31:03,884,40184
2020-02-25 03:31:03,772,40956
2020-02-25 03:31:03,772,41728
2020-02-25 03:31:05,1070,42798
2020-02-25 03:31:06,152,42950
2020-02-25 03:31:09,322,43272
2020-02-25 03:31:09,124,43396
2020-02-25 03:31:09,140,43536
2020-02-25 03:31:17,1062,44598
2020-02-25 03:31:17,761,45359
2020-02-25 03:31:17,1076,46435
2020-02-25 03:31:17,848,47283
2020-02-25 03:31:23,1076,48359
2020-02-25 03:31:23,832,49191
2020-02-25 03:31:23,730,49921
2020-02-25 03:31:23,474,50395
2020-02-25 03:31:29,1070,51465
2020-02-25 03:31:29,749,52214
2020-02-25 03:31:31,704,52918
2020-02-25 03:31:31,1395,54313
2020-02-25 03:31:33,1062,55375
2020-02-25 03:31:33,761,56136
2020-02-25 03:31:33,1076,57212
2020-02-25 03:31:33,848,58060
2020-02-25 03:31:35,616,58676
2020-02-25 03:31:37,218,58894
2020-02-25 03:31:38,152,59046
2020-02-25 03:31:40,322,59368
2020-02-25 03:31:40,124,59492
2020-02-25 03:31:40,140,59632
2020-02-25 03:31:45,584,60216
2020-02-25 03:31:54,468,60684
2020-02-25 03:31:54,382,61066
2020-02-25 03:31:54,512,61578
2020-02-25 03:31:54,27512,89090
2020-02-25 03:31:54,13832,102922
2020-02-25 03:32:01,1026,103948
2020-02-25 03:32:03,576,104524
2020-02-25 03:32:03,1062,105586
2020-02-25 03:32:03,761,106347
2020-02-25 03:32:03,1076,107423
2020-02-25 03:32:03,848,108271
2020-02-25 03:32:09,1070,109341
2020-02-25 03:32:09,797,110138
2020-02-25 03:32:09,1052,111190
2020-02-25 03:32:09,788,111978
2020-02-25 03:32:09,1058,113036
2020-02-25 03:32:09,791,113827
2020-02-25 03:32:10,936,114763
2020-02-25 03:32:10,152,114915
2020-02-25 03:32:11,322,115237
2020-02-25 03:32:11,124,115361
2020-02-25 03:32:11,140,115501
2020-02-25 03:32:16,1066,116567
2020-02-25 03:32:16,843,117410
2020-02-25 03:32:19,120,117530
2020-02-25 03:32:20,740,118270
2020-02-25 03:32:24,498,118768
2020-02-25 03:32:30,1062,119830
2020-02-25 03:32:30,777,120607
2020-02-25 03:32:36,690,121297
2020-02-25 03:32:37,218,121515
2020-02-25 03:32:42,322,121837
2020-02-25 03:32:42,124,121961
2020-02-25 03:32:42,140,122101
2020-02-25 03:32:43,152,122253
2020-02-25 03:32:50,142,122395
2020-02-25 03:32:50,142,122537
2020-02-25 03:32:59,138,122675
2020-02-25 03:33:06,464,123139
2020-02-25 03:33:07,624,123763
2020-02-25 03:33:14,322,124085
2020-02-25 03:33:14,124,124209
2020-02-25 03:33:14,140,124349
2020-02-25 03:33:15,152,124501
2020-02-25 03:33:17,1048,125549
2020-02-25 03:33:17,990,126539
2020-02-25 03:33:18,1227,127766
2020-02-25 03:33:19,998,128764
2020-02-25 03:33:19,936,129700
2020-02-25 03:33:25,616,130316
2020-02-25 03:33:38,218,130534
2020-02-25 03:33:39,580,131114
2020-02-25 03:33:42,170,131284
2020-02-25 03:33:42,604,131888
2020-02-25 03:33:42,680,132568
2020-02-25 03:33:42,688,133256
2020-02-25 03:33:45,322,133578
2020-02-25 03:33:45,124,133702
2020-02-25 03:33:45,140,133842
2020-02-25 03:33:47,152,133994
2020-02-25 03:33:47,648,134642
2020-02-25 03:34:10,614,135256
2020-02-25 03:34:13,1062,136318
